Tipo de Publicacion,Tipo de Propiedad,Direccion,Numero de Piezas,Numero de Banos,M2 Utiles,M2 Totales,Precio en Pesos,Precio en UF,Fecha de Publicacion,Fecha de Extraccion,Lat,Lng,Estacionamiento Incluido,Bodega,Condicion,Codigo,Url
venta,departamento,"La Cabaña | Las Condes, Mall Sport, Las Condes",3.0,2.0,90.0,100.0,249365550.0,8750.0,2020-01-09,2020-03-06,-33.3716011,-70.5127029,True,,Usado,4863786,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/4863786-la-cabana-las-condes-uda#position=24&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Colegio Wenlock, Los Dominicos, Las Condes",3.0,2.0,125.0,148.0,270454751.0,9490.0,2019-12-08,2020-03-06,-33.4119987,-70.5307236,True,,Usado,5213575,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5213575-colegio-wenlock-uda#position=25&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Gerónimo De Alderete / Las Tranqueras, Alto Las Condes, Las Condes",3.0,3.0,103.0,115.0,250790496.0,8800.0,2019-08-29,2020-03-06,-33.3945999,-70.5595016,True,,Usado,5039755,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5039755-geronimo-de-alderete-las-tranqueras-uda#position=26&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Manquehue Sur, Rotonda Atenas, Las Condes",3.0,3.0,156.0,212.0,322037796.0,11300.0,2019-10-29,2020-03-06,-33.4151001,-70.5650024,True,,Usado,5104997,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5104997-manquehue-sur-uda#position=28&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Metro Colon, San Carlos De Apoquindo, Las Condes",3.0,2.0,110.0,115.0,209999999.0,0,2020-01-13,2020-03-06,-33.4003296,-70.5026932,True,,Usado,5317362,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5317362-metro-colon-uda#position=29&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Luis Matte Larrain - Los Dominicos, Los Dominicos, Las Condes",3.0,4.0,140.0,164.0,356236500.0,12500.0,2019-09-03,2020-03-06,-33.4107399,-70.5327911,True,,Usado,5050551,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5050551-luis-matte-larrain-los-dominicos-uda#position=31&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Benjamin / Isidora Goyenechea, Barrio El Golf, Las Condes",3.0,3.0,160.0,170.0,341987040.0,12000.0,2019-10-09,2020-03-06,-33.4127808,-70.6009979,True,,Usado,4740246,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/4740246-benjamin-isidora-goyenechea-uda#position=32&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"El Golf, Barrio El Golf, Las Condes",3.0,3.0,150.0,150.0,384735420.0,13500.0,2020-01-22,2020-03-06,-33.4137001,-70.5970993,True,,Usado,5371024,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5371024-el-golf-uda#position=35&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Venta Depto - Metro Escuela Militar - El Dante - Vespucio, Metro Escuela Militar, Las Condes",3.0,3.0,140.0,187.0,433183584.0,15200.0,2019-11-05,2020-03-06,-33.4118767,-70.5881805,True,,Usado,3301296,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/3301296-venta-depto-metro-escuela-militar-el-dante-vespucio-uda#position=36&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Colón Oriente-vital Apoquindo - Almirant, Los Dominicos, Las Condes",3.0,3.0,124.0,142.0,270739740.0,9500.0,2019-09-06,2020-03-06,-33.4099007,-70.5327988,True,,Usado,5058333,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5058333-colon-orientevital-apoquindo-almirant-uda#position=38&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Farellones, Quinchamalí, Las Condes",3.0,3.0,90.0,90.0,173843412.0,6100.0,2020-02-05,2020-03-06,-33.3670006,-70.4968033,True,,Usado,5260875,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5260875-farellones-uda#position=39&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
